algorithm,num,model,param,accuracy,precision,recall,f1,auc
logistic,315,H1->H3 50%val,l1_11.288378916846883_saga,0.7751,0.8733,0.6967,0.7751,0.8683
logistic,315,H1->H3 50%test,l1_11.288378916846883_saga,0.7622,0.8626,0.6807,0.7610,0.8593
logistic,315,H1->H5 50%val,l2_4.281332398719396_liblinear,0.7397,0.9062,0.6444,0.7532,0.8790
logistic,315,H1->H5 50%test,l2_4.281332398719396_liblinear,0.6939,0.8947,0.5667,0.6939,0.8337
logistic,315,H3->H1 50%val,l1_0.23357214690901212_liblinear,0.7032,0.6232,0.7127,0.6649,0.7608
logistic,315,H3->H1 50%test,l1_0.23357214690901212_liblinear,0.6301,0.5497,0.5801,0.5645,0.7020
logistic,315,H3->H5 50%val,l2_0.23357214690901212_liblinear,0.8562,0.8557,0.9222,0.8877,0.8806
logistic,315,H3->H5 50%test,l2_0.23357214690901212_liblinear,0.7755,0.8132,0.8222,0.8177,0.8331
logistic,315,H5->H1 50%val,l2_3792.690190732246_saga,0.6986,0.6870,0.4972,0.5769,0.7092
logistic,315,H5->H1 50%test,l2_3792.690190732246_saga,0.6598,0.6290,0.4309,0.5115,0.6754
logistic,315,H5->H3 50%val,l2_78.47599703514607_saga,0.7577,0.7563,0.8327,0.7927,0.8353
logistic,315,H5->H3 50%test,l2_78.47599703514607_saga,0.7448,0.7445,0.8237,0.7821,0.8296
logistic,315,H3H5->H1 50%val,l1_0.03359818286283781_saga,0.7032,0.6133,0.7624,0.6798,0.7617
logistic,315,H3H5->H1 50%test,l1_0.03359818286283781_saga,0.6370,0.5495,0.6740,0.6055,0.7033
logistic,315,H1H5->H3 50%val,l2_11.288378916846883_saga,0.7683,0.7898,0.7950,0.7924,0.8512
logistic,315,H1H5->H3 50%test,l2_11.288378916846883_saga,0.7672,0.7875,0.7961,0.7918,0.8450
logistic,315,H1H3->H5 50%val,l2_0.23357214690901212_liblinear,0.8699,0.8737,0.9222,0.8973,0.8804
logistic,315,H1H3->H5 50%test,l2_0.23357214690901212_liblinear,0.7755,0.8276,0.8000,0.8136,0.8339
logistic,320,H1->self,,0.6632,0.5991,0.5580,0.5756,0.6925
logistic,320,H3->self,,0.7759,0.8175,0.7687,0.7923,0.8604
logistic,320,H5->self,,0.7952,0.8672,0.7944,0.8251,0.8780
logistic,320,H1->H3 50%val,l2_78.47599703514607_saga,0.7730,0.8638,0.7028,0.7750,0.8680
logistic,320,H1->H3 50%test,l2_78.47599703514607_saga,0.7624,0.8568,0.6877,0.7630,0.8587
logistic,320,H1->H5 50%val,l1_206.913808111479_saga,0.7671,0.9375,0.6667,0.7792,0.9105
logistic,320,H1->H5 50%test,l1_206.913808111479_saga,0.6939,0.8814,0.5778,0.6980,0.8918
logistic,320,H3->H1 50%val,l1_4.281332398719396_liblinear,0.7055,0.6368,0.6685,0.6523,0.7373
logistic,320,H3->H1 50%test,l1_4.281332398719396_liblinear,0.6256,0.5491,0.5249,0.5367,0.6643
logistic,320,H3->H5 50%val,l2_0.23357214690901212_liblinear,0.8425,0.8317,0.9333,0.8796,0.8379
logistic,320,H3->H5 50%test,l2_0.23357214690901212_liblinear,0.7483,0.7789,0.8222,0.8000,0.7544
logistic,320,H5->H1 50%val,l1_3792.690190732246_saga,0.6986,0.6960,0.4807,0.5686,0.7036
logistic,320,H5->H1 50%test,l1_3792.690190732246_saga,0.6575,0.6348,0.4033,0.4932,0.6745
logistic,320,H5->H3 50%val,l2_29.763514416313132_saga,0.7563,0.7388,0.8693,0.7987,0.8392
logistic,320,H5->H3 50%test,l2_29.763514416313132_saga,0.7441,0.7291,0.8591,0.7887,0.8329
logistic,320,H3H5->H1 50%val,l1_1.623776739188721_liblinear,0.7032,0.6294,0.6851,0.6561,0.7492
logistic,320,H3H5->H1 50%test,l1_1.623776739188721_liblinear,0.6279,0.5511,0.5359,0.5434,0.6780
logistic,320,H1H5->H3 50%val,l2_4.281332398719396_saga,0.7703,0.8179,0.7552,0.7853,0.8530
logistic,320,H1H5->H3 50%test,l2_4.281332398719396_saga,0.7654,0.8114,0.7530,0.7811,0.8461
logistic,320,H1H3->H5 50%val,l2_11.288378916846883_liblinear,0.8082,0.9079,0.7667,0.8313,0.9073
logistic,320,H1H3->H5 50%test,l2_11.288378916846883_liblinear,0.7483,0.8841,0.6778,0.7673,0.8772
